gene_id,cosmic_gene_symbol,ensembl_gene_id,entrez_id,hgnc_id,hgnc_symbol,refseq_id,uniprot_id
SIDG05290,,ENSG00000178449,84987.0,HGNC:28216,COX14,NM_032901,Q96I36
SIDG05291,COX15,ENSG00000014919,1355.0,HGNC:2263,COX15,NM_078470,Q7KZN9
SIDG05292,COX16,ENSG00000133983,51241.0,HGNC:20213,COX16,NM_016468,Q9P0S2
SIDG05293,COX17,ENSG00000138495,10063.0,HGNC:2264,COX17,NM_005694,Q14061
SIDG05294,,ENSG00000205105,81993.0,HGNC:24341,COX17P1,NG_001293,
SIDG05295,COX18,ENSG00000163626,285521.0,HGNC:26801,COX18,NM_173827,Q8N8Q8
SIDG05296,COX19,ENSG00000240230,90639.0,HGNC:28074,COX19,NM_001031617,Q49B96
SIDG05297,COX20,ENSG00000203667,116228.0,HGNC:26970,COX20,NM_198076,Q5RI15
SIDG05298,,ENSG00000213025,100507102.0,HGNC:31435,COX20P1,NG_029198,
SIDG05299,,ENSG00000235013,100289170.0,HGNC:43772,COX20P2,NG_032776,
